ID_KIID;ID_ZESPOLU;WYRAZENIE;FLAGA_WYSTAPIENIA
0;13;Kluczowe informacje dla inwestorów;True
1;13;Kluczowe informacje dla inwestorów;True
2;13;Kluczowe informacje dla inwestorów;True
3;13;Kluczowe informacje dla inwestorów;True
4;13;Kluczowe informacje dla inwestorów;True
5;13;Kluczowe informacje dla inwestorów;True
6;13;Kluczowe informacje dla inwestorów;True
7;13;Kluczowe informacje dla inwestorów;True
8;13;Kluczowe informacje dla inwestorów;True
9;13;Kluczowe informacje dla inwestorów;True
10;13;Kluczowe informacje dla inwestorów;True
11;13;Kluczowe informacje dla inwestorów;True
12;13;Kluczowe informacje dla inwestorów;True
13;13;Kluczowe informacje dla inwestorów;True
14;13;Kluczowe informacje dla inwestorów;True
15;13;Kluczowe informacje dla inwestorów;True
16;13;Kluczowe informacje dla inwestorów;True
17;13;Kluczowe informacje dla inwestorów;True
18;13;Kluczowe informacje dla inwestorów;True
19;13;Kluczowe informacje dla inwestorów;True
20;13;Kluczowe informacje dla inwestorów;True
21;13;Kluczowe informacje dla inwestorów;True
22;13;Kluczowe informacje dla inwestorów;True
23;13;Kluczowe informacje dla inwestorów;True
24;13;Kluczowe informacje dla inwestorów;True
25;13;Kluczowe informacje dla inwestorów;True
26;13;Kluczowe informacje dla inwestorów;True
27;13;Kluczowe informacje dla inwestorów;True
28;13;Kluczowe informacje dla inwestorów;True
29;13;Kluczowe informacje dla inwestorów;True
30;13;Kluczowe informacje dla inwestorów;True
31;13;Kluczowe informacje dla inwestorów;True
32;13;Kluczowe informacje dla inwestorów;True
33;13;Kluczowe informacje dla inwestorów;True
34;13;Kluczowe informacje dla inwestorów;True
35;13;Kluczowe informacje dla inwestorów;True
36;13;Kluczowe informacje dla inwestorów;True
37;13;Kluczowe informacje dla inwestorów;True
38;13;Kluczowe informacje dla inwestorów;True
39;13;Kluczowe informacje dla inwestorów;True
40;13;Kluczowe informacje dla inwestorów;True
41;13;Kluczowe informacje dla inwestorów;True
42;13;Kluczowe informacje dla inwestorów;True
43;13;Kluczowe informacje dla inwestorów;True
44;13;Kluczowe informacje dla inwestorów;True
45;13;Kluczowe informacje dla inwestorów;True
46;13;Kluczowe informacje dla inwestorów;True
47;13;Kluczowe informacje dla inwestorów;True
48;13;Kluczowe informacje dla inwestorów;True
49;13;Kluczowe informacje dla inwestorów;True
50;13;Kluczowe informacje dla inwestorów;True
51;13;Kluczowe informacje dla inwestorów;True
52;13;Kluczowe informacje dla inwestorów;True
53;13;Kluczowe informacje dla inwestorów;True
54;13;Kluczowe informacje dla inwestorów;True
55;13;Kluczowe informacje dla inwestorów;True
56;13;Kluczowe informacje dla inwestorów;True
57;13;Kluczowe informacje dla inwestorów;True
58;13;Kluczowe informacje dla inwestorów;True
59;13;Kluczowe informacje dla inwestorów;True
60;13;Kluczowe informacje dla inwestorów;True
61;13;Kluczowe informacje dla inwestorów;True
62;13;Kluczowe informacje dla inwestorów;True
63;13;Kluczowe informacje dla inwestorów;True
64;13;Kluczowe informacje dla inwestorów;True
65;13;Kluczowe informacje dla inwestorów;True
66;13;Kluczowe informacje dla inwestorów;True
67;13;Kluczowe informacje dla inwestorów;True
68;13;Kluczowe informacje dla inwestorów;True
69;13;Kluczowe informacje dla inwestorów;True
70;13;Kluczowe informacje dla inwestorów;True
71;13;Kluczowe informacje dla inwestorów;True
72;13;Kluczowe informacje dla inwestorów;True
73;13;Kluczowe informacje dla inwestorów;True
74;13;Kluczowe informacje dla inwestorów;True
75;13;Kluczowe informacje dla inwestorów;True
76;13;Kluczowe informacje dla inwestorów;True
77;13;Kluczowe informacje dla inwestorów;True
78;13;Kluczowe informacje dla inwestorów;True
79;13;Kluczowe informacje dla inwestorów;True
80;13;Kluczowe informacje dla inwestorów;True
81;13;Kluczowe informacje dla inwestorów;True
82;13;Kluczowe informacje dla inwestorów;True
83;13;Kluczowe informacje dla inwestorów;True
84;13;Kluczowe informacje dla inwestorów;True
85;13;Kluczowe informacje dla inwestorów;True
86;13;Kluczowe informacje dla inwestorów;True
87;13;Kluczowe informacje dla inwestorów;True
88;13;Kluczowe informacje dla inwestorów;True
89;13;Kluczowe informacje dla inwestorów;True
90;13;Kluczowe informacje dla inwestorów;True
91;13;Kluczowe informacje dla inwestorów;True
92;13;Kluczowe informacje dla inwestorów;True
93;13;Kluczowe informacje dla inwestorów;True
94;13;Kluczowe informacje dla inwestorów;True
95;13;Kluczowe informacje dla inwestorów;True
96;13;Kluczowe informacje dla inwestorów;True
97;13;Kluczowe informacje dla inwestorów;True
98;13;Kluczowe informacje dla inwestorów;True
99;13;Kluczowe informacje dla inwestorów;True
100;13;Kluczowe informacje dla inwestorów;True
101;13;Kluczowe informacje dla inwestorów;True
102;13;Kluczowe informacje dla inwestorów;True
103;13;Kluczowe informacje dla inwestorów;True
104;13;Kluczowe informacje dla inwestorów;True
105;13;Kluczowe informacje dla inwestorów;True
106;13;Kluczowe informacje dla inwestorów;True
107;13;Kluczowe informacje dla inwestorów;True
108;13;Kluczowe informacje dla inwestorów;True
109;13;Kluczowe informacje dla inwestorów;True
110;13;Kluczowe informacje dla inwestorów;True
111;13;Kluczowe informacje dla inwestorów;True
112;13;Kluczowe informacje dla inwestorów;True
113;13;Kluczowe informacje dla inwestorów;True
114;13;Kluczowe informacje dla inwestorów;True
